train_idx	gen_idx	re_idx	similarity	query	train_texts	generated_texts
0	40	0	0.999988	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일 화천 강수량 알려줘.
0	11	1	0.99998754	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일 화천 강수량 말해줘.
0	35	2	0.99998736	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일 강진에 비 어느 정도 와?
0	43	3	0.99998736	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일 화천군의 강수량이 얼마나 되는지 알아?
0	51	4	0.99998736	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일 포천 비 어느 정도 와?
0	59	5	0.99998736	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일 화천 강수량이 얼마나 돼?
0	60	6	0.99998736	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일 수원에 비가 어느 정도 내릴지 좀 알려줘
0	69	7	0.99998736	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일 수원에 비가 얼만큼 내릴까?
0	8	8	0.9999873	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일 수원에 비가 어느 정도 내릴지 궁금해
0	10	9	0.9999873	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일 수원에 비가 얼마나 내릴거같아?
0	18	10	0.9999873	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일은 춘천에 비가 어느 정도 내릴 예정이야?
0	52	11	0.9999873	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일 화성 강수량 말해줘.
0	58	12	0.9999873	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일 화천군의 강수량이 어떻게 돼?
0	78	13	0.9999873	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일은 대전에 비가 어느 정도 올 예정이야?
0	82	14	0.9999873	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일 화천군의 강수량 알려줘
0	92	15	0.9999873	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일 자갈치시장에 비가 얼마나 올까?
0	0	16	0.99998724	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일 대전에 비가 어느 정도 올 예정이야?
0	3	17	0.99998724	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일 수원에 비가 얼마나 내릴지 궁금하네
0	9	18	0.99998724	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일 대전에 비가 얼마나 내릴까?
0	38	19	0.99998724	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일은 영덕에 비가 어느 정도 올 예정이야?
0	62	20	0.99998724	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일 수원에 비가 얼마나 떨어질까?
0	66	21	0.99998724	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일 청계천에 비가 얼만큼 내릴까?
0	68	22	0.99998724	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일 대전 강수량 말해줘.
0	71	23	0.99998724	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일 수원에 비가 얼마나 내릴까?
0	74	24	0.99998724	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일 포천 강수량 말해줘.
0	75	25	0.99998724	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일 수원에 비가 어느 정도 내릴까?
0	84	26	0.99998724	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일 자갈치시장에 비가 얼마나 내릴까?
0	94	27	0.99998724	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일 상주 강수량 말해줘.
